unique_spon_names,normed_spon_names
Beijing YouAn Hospital,"Beijing You'an Hospital, Capital Medical University"
Renji Hospital Affiliated to Shanghai Jiaotong University School of Medicine,Renji Hospital Affiliated to Shanghai Jiaotong University School of Medicine
Beijing hospital of Traditional Chinese medicine; Hubei integrated traditional Chinese and Western Medicine Hospital,Beijing Hospital of Traditional Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine
Henan Provincial People's Hospital,Henan Provincial People's Hospital
The Second Affiliated hospital of Anhui Medical University,The Second Affiliated hospital of Anhui Medical University
"State Key Laboratory of Respiratory Disease, National Clinical Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, The First Affiliated Hospital of Guangzhou Medical University","State Key Laboratory of Respiratory Disease, National Clinical Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, The First Affiliated Hospital of Guangzhou Medical University"
Hudson Medical,Hudson Medical
Zhongshan Hospital Fudan University,"Zhongshan Hospital, Fudan University"
"Tongji Hospital of Tongji Medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
People's Hospital of Guangshan County,People's Hospital of Guangshan County
Beijing Tsinghua Chang Gung Hospital,Beijing Tsinghua Chang Gung Hospital
Affiliated Hospital of Xuzhou Medical University,Affiliated Hospital of Xuzhou Medical University
"Xiamen Medical College,Shijiazhuang Medical College","Xiamen Medical College,Shijiazhuang Medical College"
Lihir Medical Centre,Lihir Medical Centre
Guangxi medical uniwresity,Guangxi Medical University
"Jiangsu Famous Medical Technology Co., Ltd.","Jiangsu Famous Medical Technology Co., Ltd."
Shanghai General Hospital,Shanghai General Hospital
Li Caixia,Li Caixia
The First Hospital of Jilin University,The First Hospital of Jilin University
Asan Medical Center,Asan Medical Center
Tianjin Huanhu Hospital,Tianjin Huanhu Hospital
Huazhong University of Science and Technology,Huazhong University of Science and Technology
"Beijing An Zhen Hospital, Capital Medical University","Beijing An Zhen Hospital, Capital Medical University"
Jiangsu Institute of Parasitic Diseases,Jiangsu Institute of Parasitic Diseases
The First Affiliated Hospital of the Guangzhou Medical University,The First Affiliated Hospital of the Guangzhou Medical University
Hubei Shiyan Taihe hospital,Hubei Shiyan Taihe hospital
"The First Affiliated Hospital of Nanchang University, Ten layers pulse Research Institute of traditional Chinese medicine, Nanchang University","The First Affiliated Hospital of Nanchang University, Ten layers pulse Research Institute of traditional Chinese medicine, Nanchang University"
The Sixth Affiliated Hospital of Sun Yat-sen University,The Sixth Affiliated Hospital of Sun Yat-sen University
Peking University People's Hospital,Peking University People's Hospital
U.S. Army Medical Research and Development Command,U.S. Army Medical Research and Development Command
Chinese Alliance Against Lung Cancer,Chinese Alliance Against Lung Cancer
"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences"
Tianjin University,Tianjin University
"Tongji Hospital, Tongji Medical College of HUST","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Affiliated Hospital of Traditional Chinese Medicine, Southwest Medical University","Affiliated Hospital of Traditional Chinese Medicine, Southwest Medical University"
Shenzhen national medicine inheritance medical research institute co. LTD,Shenzhen national medicine inheritance medical research institute co. LTD
Wuhan 3rd Hospital,Wuhan Third Hospital
"University Hospital, Clermont-Ferrand","University Hospital, Clermont-Ferrand"
Huilan Zhang,Huilan Zhang
Ruijin Hospital,Ruijin Hospital
The Sixth Medical Center of PLA General Hospital,The Sixth Medical Center of PLA General Hospital
Wuhan Pulmonary Hosptial,Wuhan Pulmonary Hosptial
Beijing Hospital of Traditional Chinese Medicine affiliated to Capital Medical University/Beijing institute of Traditional Chinese MedHubei integrated traditional Chinese and Western Medicine Hospital,Beijing Hospital of Traditional Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine
"Tongji Hospital, Huazhong university of science and technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Wuxi People's Hospital,Wuxi People's Hospital
"1.Xinhua affiliated hospital, Hubei University of Chinese Medicine; 2. Hubei Provincial Hospital of Integrated Chinese and Western Medicine","Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine"
"Department of Respiratory and Critical Care Medicine, Tongji Hospital of Tongji Medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Shanghai Ninth People's Hospital,Shanghai Ninth People's Hospital
"Department of Anesthesiology, Zhongnan Hospital of Wuhan University",Zhongnan Hospital of Wuhan University
"Beijing Chaoyang Hospital, Capital Medical University","Beijing Chaoyang Hospital, Capital Medical University"
The First Hospital of Changsha; The Second Xiangya Hospital of Central South University,The First Hospital of Changsha; The Second Xiangya Hospital of Central South University
"The First People's Hospital of Chenzhou, Institute of Translational Medicine,University of South China","The First People's Hospital of Chenzhou, Institute of Translational Medicine,University of South China"
"Tongren Hospital, Shanghai Jiao Tong University School of Medicine","Tongren Hospital, Shanghai Jiao Tong University School of Medicine"
"Department of Critical Care Medicine, The First Affiliated Hospital, Henan Traditional Chinese Medicine University","The First Affiliated Hospital, Henan Traditional Chinese Medicine University"
Beijing hospital of Traditional Chinese Medicine; Hubei Integrated Traditional Chinese and Western Medicine Hospital,Beijing Hospital of Traditional Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine
The First Affiliated Hospital of Bengbu Medical College,The First Affiliated Hospital of Bengbu Medical College
Xiangyang 1st people's Hospital,Xiangyang First People's Hospital
The First Hospital Affiliated to Zhejiang University's Medical School,The First Hospital Affiliated to Zhejiang University's Medical School
Tianhe Stem Cell Biotechnologies Inc.,Tianhe Stem Cell Biotechnologies Inc.
Guangzhou 8th People's Hospital,Guangzhou 8th People's Hospital
Wuxi Fifth People's Hospital,Wuxi Fifth People's Hospital
